Name,Sex,Dorm,Year,Is Leader
Alex Thompson,M,Alex Thompson,L,true
Mike Rodriguez,M,Alex Thompson,L,true
David Wilson,M,Alex Thompson,L,true
Alex Thompson 1,M,Alex Thompson,9,false
Alex Thompson 2,M,Alex Thompson,9,false
Alex Thompson 3,M,Alex Thompson,9,false
Alex Thompson 4,M,Alex Thompson,9,false
Alex Thompson 5,M,Alex Thompson,9,false
Alex Thompson 6,M,Alex Thompson,9,false
Alex Thompson 7,M,Alex Thompson,9,false
James Anderson,M,James Anderson,L,true
Chris Martinez,M,James Anderson,L,true
Ryan Garcia,M,James Anderson,L,true
James Anderson 1,M,James Anderson,10,false
James Anderson 2,M,James Anderson,10,false
James Anderson 3,M,James Anderson,10,false
James Anderson 4,M,James Anderson,10,false
James Anderson 5,M,James Anderson,10,false
James Anderson 6,M,James Anderson,10,false
Kevin Johnson,M,Kevin Johnson,L,true
Ben Taylor,M,Kevin Johnson,L,true
Luke Davis,M,Kevin Johnson,L,true
Kevin Johnson 1,M,Kevin Johnson,10,false
Kevin Johnson 2,M,Kevin Johnson,10,false
Kevin Johnson 3,M,Kevin Johnson,10,false
Kevin Johnson 4,M,Kevin Johnson,10,false
Kevin Johnson 5,M,Kevin Johnson,10,false
Kevin Johnson 6,M,Kevin Johnson,10,false
Kevin Johnson 7,M,Kevin Johnson,10,false
Nathan Miller,M,Nathan Miller,L,true
Sam Brown,M,Nathan Miller,L,true
Jake Moore,M,Nathan Miller,L,true
Nathan Miller 1,M,Nathan Miller,11,false
Nathan Miller 2,M,Nathan Miller,11,false
Nathan Miller 3,M,Nathan Miller,11,false
Nathan Miller 4,M,Nathan Miller,11,false
Nathan Miller 5,M,Nathan Miller,11,false
Nathan Miller 6,M,Nathan Miller,11,false
Nathan Miller 7,M,Nathan Miller,11,false
Tyler Jackson,M,Tyler Jackson,L,true
Josh White,M,Tyler Jackson,L,true
Matt Lewis,M,Tyler Jackson,L,true
Eric Clark,M,Tyler Jackson,L,true
Tyler Jackson 1,M,Tyler Jackson,12,false
Tyler Jackson 2,M,Tyler Jackson,12,false
Tyler Jackson 3,M,Tyler Jackson,12,false
Tyler Jackson 4,M,Tyler Jackson,12,false
Tyler Jackson 5,M,Tyler Jackson,13,false
Tyler Jackson 6,M,Tyler Jackson,13,false
Tyler Jackson 7,M,Tyler Jackson,13,false
Tyler Jackson 8,M,Tyler Jackson,13,false
Tyler Jackson 9,M,Tyler Jackson,13,false
Emma Roberts,F,Emma Roberts,L,true
Sarah Mitchell,F,Emma Roberts,L,true
Lisa Parker,F,Emma Roberts,L,true
Emma Roberts 1,F,Emma Roberts,9,false
Emma Roberts 2,F,Emma Roberts,9,false
Emma Roberts 3,F,Emma Roberts,9,false
Emma Roberts 4,F,Emma Roberts,9,false
Emma Roberts 5,F,Emma Roberts,9,false
Emma Roberts 6,F,Emma Roberts,9,false
Emma Roberts 7,F,Emma Roberts,9,false
Emma Roberts 8,F,Emma Roberts,9,false
Emma Roberts 9,F,Emma Roberts,9,false
Maya Collins,F,Maya Collins,L,true
Kate Turner,F,Maya Collins,L,true
Zoe Phillips,F,Maya Collins,L,true
Maya Collins 1,F,Maya Collins,11,false
Maya Collins 2,F,Maya Collins,11,false
Maya Collins 3,F,Maya Collins,11,false
Maya Collins 4,F,Maya Collins,11,false
Maya Collins 5,F,Maya Collins,11,false
Maya Collins 6,F,Maya Collins,11,false
Maya Collins 7,F,Maya Collins,11,false
Maya Collins 8,F,Maya Collins,11,false
Rachel Green,F,Rachel Green,L,true
Amy Carter,F,Rachel Green,L,true
Grace Hall,F,Rachel Green,L,true
Rachel Green 1,F,Rachel Green,11,false
Rachel Green 2,F,Rachel Green,11,false
Rachel Green 3,F,Rachel Green,11,false
Rachel Green 4,F,Rachel Green,11,false
Rachel Green 5,F,Rachel Green,11,false
Rachel Green 6,F,Rachel Green,11,false
Rachel Green 7,F,Rachel Green,11,false
Nicole Adams,F,Nicole Adams,L,true
Hannah Scott,F,Nicole Adams,L,true
Chloe Evans,F,Nicole Adams,L,true
Nicole Adams 1,F,Nicole Adams,12,false
Nicole Adams 2,F,Nicole Adams,12,false
Nicole Adams 3,F,Nicole Adams,12,false
Nicole Adams 4,F,Nicole Adams,12,false
Nicole Adams 5,F,Nicole Adams,12,false
Support 6,F,Support,L,true
Support 7,M,Support,L,true
