Vehicle,Driver,Passenger,Dorm,Is_Driver,Vehicle_Type
Rodriguez (FG34 HIJ),Mike Rodriguez,Alex Thompson,Alex Thompson,False,Car
Rodriguez (FG34 HIJ),Mike Rodriguez,Mike Rodriguez,Alex Thompson,True,Car
Rodriguez (FG34 HIJ),Mike Rodriguez,Alex Thompson 4,Alex Thompson,False,Car
Rodriguez (FG34 HIJ),Mike Rodriguez,Alex Thompson 6,Alex Thompson,False,Car
Rodriguez (FG34 HIJ),Mike Rodriguez,Alex Thompson 7,Alex Thompson,False,Car
Brown (KL56 MNO),Sam Brown,Nathan Miller,Nathan Miller,False,Car
Brown (KL56 MNO),Sam Brown,Sam Brown,Nathan Miller,True,Car
Brown (KL56 MNO),Sam Brown,Nathan Miller 4,Nathan Miller,False,Car
Brown (KL56 MNO),Sam Brown,Nathan Miller 6,Nathan Miller,False,Car
Brown (KL56 MNO),Sam Brown,Nathan Miller 7,Nathan Miller,False,Car
Clark (PQ78 RST),Eric Clark,Matt Lewis,Tyler Jackson,False,Car
Clark (PQ78 RST),Eric Clark,Eric Clark,Tyler Jackson,True,Car
Clark (PQ78 RST),Eric Clark,Tyler Jackson 4,Tyler Jackson,False,Car
Clark (PQ78 RST),Eric Clark,Tyler Jackson 8,Tyler Jackson,False,Car
Clark (PQ78 RST),Eric Clark,Tyler Jackson 9,Tyler Jackson,False,Car
Evans (UV90 WXY),Chloe Evans,Maya Collins 2,Maya Collins,False,Car
Evans (UV90 WXY),Chloe Evans,Maya Collins 4,Maya Collins,False,Car
Evans (UV90 WXY),Chloe Evans,Maya Collins 8,Maya Collins,False,Car
Evans (UV90 WXY),Chloe Evans,Chloe Evans,Nicole Adams,True,Car
Evans (UV90 WXY),Chloe Evans,Nicole Adams 1,Nicole Adams,False,Car
Evans (UV90 WXY),Chloe Evans,Nicole Adams 5,Nicole Adams,False,Car
Johnson (ZA12 BCD),Emma Roberts,Nathan Miller 1,Nathan Miller,False,Car
Johnson (ZA12 BCD),Emma Roberts,Nathan Miller 3,Nathan Miller,False,Car
Johnson (ZA12 BCD),Emma Roberts,Emma Roberts,Emma Roberts,True,Car
Johnson (ZA12 BCD),Emma Roberts,Emma Roberts 3,Emma Roberts,False,Car
